date,title,author,ignore
n/a,Ephesian Tale,Xenophon,ancient
n/a,Story of Apollonius King of Tyre,anonymous,ancient
n/a,The Wonders Beyond Thule,Antonius Diogenes,ancient
n/a,Babyloniaka,Iamblichus,ancient
n/a,Chaereas and Callirhoe,Chariton,ancient
n/a,Leucippe and Clitophon,Achilles Tatius,ancient
n/a,Ethiopian Story,Heliodorus,ancient
n/a,The works of Ovid,ancient
1485,Cárcel de Amor (Prison of Love),Diego de San Pedro ,1400-1500
1548,Proceso de Cartas de Amores (The Process of Love Letters),Juan de Segura ,1500-1600
1650,Familiar Letters,James Howell ,1600-1700
1669,Les Lettres Portugaises (Portuguese Letters),Gabriel-Joseph de Lavergne ,1600-1700
1669,"Lettres de Respect, d’obligation et d’amour (Letters of Respect, Gratitude, and Love)",Edmé Boursault ,1600-1700
1687,Love Letters between a Nobleman and his Sister,Aphra Behn ,1600-1700
1721,Lettres Persanes (Persian Letters),Montesquieu ,1700-1800
1740,"Pamela, or Virtue Rewarded",Samuel Richardson ,1700-1800
1747,Lettres d’une Péruvienne (Letters from a Peruvian Woman),Françoise de Graffigny ,1700-1800
1748,"Clarissa, or the History of a Young Lady",Samuel Richardson ,1700-1800
1753,The History of Sir Charles Grandison,Samuel Richardson ,1700-1800
1761,"Julie, ou la nouvelle Héloïse (Julie, or the New Heloise)",Jean-Jacques Rousseau ,1700-1800
1769,The History of Emily Montague,Frances Brooks ,1700-1800
771,The Expedition of Humphry Clinker,Tobias Smollett ,1700-1800
1774,Die Leiden des jungen Werthers (The Sorrows of a Young Werther),Johann Wolfgang von Goethe
1778,Evelina,Fanny Burney
1782,Les Liaisons Dangereuses (Dangerous Liaisons),Pierre Choderlos de Laclos
1784,Letters of Mrs. Henley,Isabelle de Charriere
1793,The Emigrants,Gilbert Imlay
1795,Aline et Valcour; ou la Roman philosophique (Aline and Valcour),Marquis de Sade
1797,Hyperion oder Der Eremit in Griechenland (Hyperion),Friedrich Hölderlin
1802,Delphine,Anne Louise Germaine de Staël
1806,Leonora,Maria Edgeworth
1816,Adolphe,Benjamin Constant
1846,Poor Folk,Fyodor Dostoyevsky
1848,The Tenant of Wildfell Hall,Anne Brontë
1860,The Woman in White,Wilkie Collins
1868,The Moonstone,Wilkie Collins
1871,Lady Susan,Jane Austen
1881,The Black Robe,Wilkie Collins
1892,Fra Rusaaret,Peter Nansen
1888,A Debutante in New York Society,Rachel Buchanan
1897,Dracula,Bram Stoker
1899,The Etchingham Letters,Frederick Pollard and Mrs. Fuller Maitland
1900,The Visits of Elizabeth,Elinor Glyn
1900,Sylvana’s Letters to an Unknown Friend,Eleanor Vere Boyle
1900,An Englishwoman’s Love Letters,Laurence Housman
1903,A Parish of Two,H.G. McVickar and Percy Collins
1903,Letters Home,William Dean Howells
1903,The Kempton-Wace Letters,Jack London and Anna Strunsky
1906,Listener’s Lure,E. Lucas
1912,Daddy-Long-Legs,Jean Webster
1915,You Know Me Al,Ring Lardner
1915,Dear Enemy,Jean Webster
1922,"Zoo, or Letters Not about Love",Victor Shklovsky
1928,Givi Shaduri,Mikheil Javakhishvili
